0	1	2	3	4	5	6
62.0	182.0	1.0	157.0	6.0		9.8
38.0	491.0	34.0	39.0	80.0	99.0	10.7
43.0	546.0	20.8	34.0	17.0	80.0	8.0
19.0	1631.0	102.7	32.0	38.0	50.0	10.30000019
53.0	1145.0	156.3	85.0	96.0	95.0	9.300000191
46.0	228.0	1.7	44.0	7.0	50.0	8.0
19.0		60.45	74.0	87.0	52.0	9.399999619
22.0	4045.0	77.4	66.0	84.0	80.0	14.0
49.0	358.0	55.5	133.0		80.0	8.9
38.0	1165.0	98.9	63.0	80.0	95.0	12.3
55.0	269.0	1.3	115.0	0.0	70.0	12.9
47.0	3261.0	20.8	28.0	19.0	90.0	8.1
38.0	961.0	6.6	32.0	37.0	34.0	9.5
28.0	1282.0	136.9	46.0	80.0	100.0	12.6
55.0	513.0	18.9	97.0	78.0	55.0	8.3
34.0	917.0	82.1	28.0	35.0	75.0	7.5
58.0	139.0	0.8	25.0	3.0	62.0	6.4
48.0	603.0	35.7	72.0	85.0	85.0	12.2
48.0	468.0	26.6	80.0	90.0	91.0	7.4
39.0	249.0	4.4	21.0	61.0	95.0	8.9
33.0	1670.0	39.0	52.0		80.0	7.2
48.0	420.0	49.0	38.0	98.0	93.0	10.69999981
44.0	681.0	13.0	169.0	22.0	90.0	9.5
46.0	799.0	83.9	43.0	54.0	85.0	9.1
46.0	703.0	53.6	32.0	65.0	100.0	12.4
53.0	216.0	6.3	198.0	50.0	95.0	8.1
36.0	798.0	14.2	91.0	18.0	35.0	11.2
54.0	469.0	11.7	16.0	0.0	46.0	11.2
30.0	430.0			36.0	61.0	
61.0	2741.0	3.1	130.0	1.0	80.0	9.3
46.0	672.0	12.4	31.0		68.0	6.5
53.0	1175.0	5.5	38.0		90.0	7.5
39.0	1134.0	175.1	26.0	38.0	85.0	6.300000191
21.0	1025.0	138.5	112.0	95.0	91.0	9.2
57.0	228.0	2.4	45.0	0.0	20.0	13.39999962
64.0	174.0	5.1	75.0	0.0	15.0	8.5
51.0		97.0	19.0	92.0	80.0	7.300000191
63.0	288.0	6.48	134.0	35.0	60.0	7.7
47.0	658.0	126.26	53.0	80.0	80.0	6.800000191
43.0	685.0	0.2	53.0	80.0	95.0	7.599999905
53.0	1480.0	131.0	60.0	98.0	89.0	7.1
32.0	813.0	104.0	20.0	77.0	90.0	12.0
31.0	731.0	112.0	31.0	0.0	95.0	8.800000191
54.0	947.0	19.6	32.0	28.0	60.0	9.1
56.0	205.0	2.9	45.0	0.0	60.0	9.3
59.0	188.0	1.8	123.0			10.6
54.0	535.0	28.1	40.0	53.0	60.0	12.7
60.0	358.0	25.2	55.0	80.0	80.0	10.6
29.0	277.0	20.3	42.0	82.0	92.0	7.6
34.0	225.0	45.5	127.0	87.0	90.0	9.300000191
38.0	321.0	8.4	21.0	44.0	47.0	8.5
57.0	734.0	6.2	107.0	84.0	92.0	12.80000019
33.0	723.0	84.1	54.0	50.0	60.0	8.7
47.0	298.0	29.4	160.0	66.0	95.0	8.7
49.0	1318.0	20.3	71.0	72.0	94.0	7.9
57.0	379.0	32.7	111.0	0.0	23.0	10.0
45.0	1316.0	9.9	17.0	66.0	35.0	7.099999905
56.0	465.0	2.2	37.0	44.0	85.0	7.7
42.0	429.0	8.55	110.0	35.0	35.0	12.5
48.0	253.0	8.6	399.0	0.0	90.0	13.89999962
45.0	967.0	52.1	107.0	46.0	60.0	6.3
57.0	246.0	0.9	64.0	4.0	60.0	8.800000191
26.0	271.0	6.01	137.0	5.0	60.0	12.19999981
42.0	250.0	3.8	79.0	24.0	89.0	11.0
57.0	842.0	122.4	103.0	36.0	94.0	9.1
36.0	1699.0	427.0	89.0	61.0		10.0
44.0	502.0	5.0	71.0	23.0	90.0	7.8
57.0	292.0	27.9	81.0	30.0	16.0	7.900000095
59.0	1593.0	122.8	298.0	91.0	80.0	9.1
50.0	972.0	34.0	27.0	78.0	30.0	12.5
39.0	176.0	3.7	34.0	12.0	80.0	9.6
59.0	813.0	3.4	13.0	19.0	91.0	8.399999619
47.0	304.0	15.7	27.0	29.0		10.7
60.0	1287.0	59.8	14.0	25.0	98.0	6.1
38.0	381.0	66.5	12.0	30.0	96.0	6.5
44.0	626.0	13.1	29.0	41.0	60.0	11.6
62.0	216.0	7.22	32.0	69.0		7.7
35.0	704.0	47.3	26.0	52.0	52.0	9.300000191
51.0	818.0	101.0	65.0	0.0	30.0	7.800000191
43.0	1305.0	106.0	19.0	72.0	80.0	8.4
42.0	465.0	9.4	53.0	16.0		9.3
40.0	942.0	34.79	28.0	26.0	90.0	11.7
49.0	249.0	13.0	54.0	30.0	51.0	8.800000191
59.0	1608.0	7.7	16.0	50.0	85.0	7.400000095
38.0	966.0	217.0	63.0	100.0	90.0	8.8
43.0	724.0	95.6	80.0	68.0	50.0	7.9
54.0	404.0	21.3	247.0	64.0	80.0	10.7
54.0	729.0	107.0	155.0	90.0	100.0	9.6
39.0	324.0	16.1	37.0	56.0	70.0	9.4
55.0	982.0	62.6	171.0	81.0	80.0	11.5
52.0	909.0	67.9	51.0	9.0	50.0	8.0
57.0	219.0	6.1	42.0	45.0	75.0	7.199999809
49.0	250.0	3.8	36.0	9.0	80.0	8.5
34.0	481.0	13.85	42.0	80.0	75.0	9.600000381
55.0	134.0	1.3	161.0	2.0	51.0	11.0
47.0	514.0	53.54	63.0	30.0		12.1
53.0	98.0	2.4	183.0		25.0	8.0
32.0	447.0	14.99	300.0	79.0	80.0	8.899999619
61.0	226.0	14.7	60.0	17.0	85.0	10.5
40.0	275.0	1.26	396.0	8.0	38.0	8.600000381
57.0	741.0	10.7	50.0	88.0	100.0	7.5
28.0	433.0	23.9	47.0		85.0	10.9
59.0	213.0	2.1	130.0	0.0	50.0	12.2
61.0	332.0	1.2	204.0	42.0	73.0	8.8
38.0	841.0	56.3	41.0	73.0	96.0	7.900000095
42.0	484.0	75.5	35.0	68.0	75.0	6.699999809
39.0	599.0	14.1	11.0	76.0	88.0	10.10000038
44.0	160.0	1.7	125.0	0.0	60.0	10.3
51.0	888.0	61.0	37.0	82.0	66.0	7.1
59.0	219.0	1.3	10.0	53.0	90.0	9.3
30.0	1491.0	5.9	20.0		30.0	7.0
38.0	426.0	13.5	96.0	94.0	84.0	9.600000381
52.0	821.0	27.4	98.0	21.0	45.0	8.4
29.0	736.0					
43.0	1662.0	26.1	30.0	90.0	6.0	7.0
42.0	312.0	8.4	94.0	87.0	70.0	8.6
53.0	418.0	19.0	6.0	27.0	90.0	9.899999619
